Verb;V_pst;za_V_pst;V_imp;za_V_imp
смеялcя;13 303;14 673;1 212;40
плакал;14 573;7 386;2 084;37
орал;3 408;3 917;461;4
интересовался;4 234;2 670;27;5
играл;28 361;2 439;1 080;39
интересовал;4 626;2 008;0;9
мёрз;645;1 996;16;13
стонал;2 253;1 719;38;2
ревел;1 918;1 477;181;6
звучал;8 011;1 465;18;2
шумел;3 914;1 459;508;5
блестел;4 386;1 148;9;2
визжал;1 299;1 093;19;2
качался;1 800;862;23;2
рычал;816;821;68;2
тряс;1 899;700;67;4
бастовал;216;445;10;2
упрямился;186;277;60;2
артачился;33;155;4;2
